title,city_name,salon,nb_rooms,nb_baths,surface_area,price_n,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse,city_grouped_Autres,city_grouped_Bouskoura,city_grouped_Casablanca,city_grouped_El Jadida,city_grouped_Fès,city_grouped_Kénitra,city_grouped_Marrakech,city_grouped_Martil,city_grouped_Meknès,city_grouped_Mohammedia,city_grouped_Rabat,city_grouped_Saidia,city_grouped_Salé,city_grouped_Tanger,city_grouped_Temara,nb_total_pieces
CMN-MA-1752 - Appartement à vendre à Palmier,Casablanca,1.0,2.0,2.0,168.0,2000000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
66370-Vente Appt à Casablanca Hay Hassani de 111 m,Casablanca,1.0,2.0,2.0,98.0,1195000.0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 81 m² à Dar Bouazza,Dar Bouazza,1.0,2.0,2.0,81.0,1350000.0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
63860-Vente Appt à Casablanca Quartier Bd Med V de,Casablanca,1.0,1.0,1.0,56.0,900000.0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Appartement à vendre 98 m² à Marrakech,Marrakech,1.0,3.0,3.0,98.0,760000.0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
50620-Vente Appt à Casablanca Hay Mohammadi de 73,Casablanca,1.0,3.0,2.0,73.0,790000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
appartement à vendre,Asilah,1.0,2.0,1.0,72.0,780000.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement 76 m² en Plein Cœur de Bouskoura,Bouskoura,1.0,2.0,2.0,76.0,755000.0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement moderne à vendre 105 m² à Kénitra,Kénitra,1.0,3.0,2.0,105.0,790000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
OASIS VENTE BEL APPARTEMENT AVEC TERRASSE,Casablanca,1.0,2.0,2.0,105.0,1900000.0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
spacieux appartement moulay driss 1,Casablanca,2.0,2.0,1.0,140.0,1350000.0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
RAK-GU-1016 - Appartement à vendre à Guéliz,Marrakech,1.0,2.0,2.0,113.0,1360000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appartement 110 m2 av Allal el fassi,Marrakech,1.0,3.0,2.0,110.0,800000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0
Appartement à vendre 60 m² à Mohammedia,Mohammedia,1.0,2.0,1.0,60.0,350000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0
Appartement à vendre 105 m² à Marrakech,Marrakech,1.0,2.0,2.0,105.0,890000.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
appartement à ABRAJ ALFIDA,Casablanca,1.0,2.0,1.0,70.0,690000.0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement a vendre au quartier Maarif,Casablanca,1.0,3.0,2.0,113.0,1356000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement à Marina Blanca,Dar Bouazza,1.0,2.0,2.0,98.0,1600000.0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 120 m² à Rabat kebibat,Rabat,1.0,3.0,1.0,119.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
cite des jardin sans vis a vis,Kénitra,1.0,2.0,3.0,113.0,1250000.0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Appartements neuf ( HAY AMSERNATE ),Agadir,1.0,2.0,2.0,110.0,890000.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
CMN-MA-1652 - Appartement à vendre à Maârif,Casablanca,1.0,2.0,2.0,92.0,1200000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
CMN-AS-1533 - Appartement à vendre à Belvédère,Casablanca,1.0,1.0,1.0,105.0,850000.0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Appartement de luxe à vendre 91 m² à sidi maarouf,Casablanca,1.0,3.0,2.0,91.0,910000.0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement 81 m² avec piscine a gueliz,Marrakech,1.0,2.0,1.0,81.0,769500.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appartement à Vendre 64 m² à Casa Sidi Maarouf,Casablanca,1.0,2.0,2.0,64.0,890000.0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 88 m² à Tamesna,Tamesna,1.0,3.0,2.0,88.0,675000.0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement 69 m² à sidi maarouf,Casablanca,1.0,3.0,2.0,69.0,750000.0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement à vendre 95 m² à Mohammedia,Mohammedia,1.0,2.0,1.0,95.0,1470000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0
Appartement en vente 82 m² à Ain sebaa Casablanca,Casablanca,1.0,2.0,2.0,82.0,1167000.0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement super ensoleillé à vendre,Salé,1.0,2.0,2.0,95.0,1090000.0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
super appartement bien ensoleillé 120m,Had Soualem,1.0,3.0,2.0,142.0,620000.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
apt deux façade 3 chambre,Casablanca,1.0,3.0,2.0,88.0,880000.0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement à vendre 43 m² à Temara,Temara,1.0,2.0,2.0,43.0,890000.0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
RAK-TA-1063 - Appartement à vendre à Quartier Ch...,Marrakech,1.0,2.0,1.0,89.0,1200000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appart Lumineux 59 m² à Perla Bouskoura,Bouskoura,1.0,2.0,2.0,59.0,590000.0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 108 m² à Benslimane,Benslimane,2.0,2.0,2.0,108.0,1099999.0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Studio Neuf En Plein Coeur Gueliz A vendre,Marrakech,1.0,1.0,1.0,43.0,1050000.0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
lux apt deux façade lagironde,Casablanca,1.0,2.0,2.0,84.0,1000000.0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 83 m² aux Jardins d'Agadir,Agadir,1.0,2.0,2.0,83.0,1300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement de luxe 156m sans vis à vis,Casablanca,1.0,4.0,2.0,106.0,1300000.0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
appartement a vendre,Temara,1.0,2.0,1.0,60.0,540000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0
شقة الهبال 130m مشمشة فيها شروط الدعم,Had Soualem,1.0,3.0,2.0,120.0,620000.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement 67 m² à Tanger,Tanger,1.0,2.0,2.0,67.0,890000.0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0
CMN-AN-1582 - Appartement à vendre à Bourgogne,Casablanca,1.0,2.0,1.0,76.0,890000.0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
appartement à vendre bouskoura,Bouskoura,1.0,2.0,2.0,54.0,890000.0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appart Contemporain 76 m² à Perla Bouskoura,Casablanca,1.0,2.0,2.0,76.0,760000.0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement 81 m² avec piscine à gueliz,Marrakech,1.0,2.0,1.0,81.0,769500.0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appartement à vendre neuf à ain sebaa,Casablanca,1.0,2.0,2.0,85.0,11000.0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Appartement à vendre 78 m² à Casablanca,Casablanca,2.0,2.0,2.0,78.0,740000.0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Appartement à vendre 110 m² à Rabat,Rabat,1.0,3.0,2.0,110.0,1600000.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Appartement 81 m² avec piscine à Gueliz,Marrakech,1.0,2.0,1.0,81.0,769500.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Appartement de 77m très bien placé à l'oasis,Casablanca,1.0,2.0,2.0,75.0,17500.0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
